Размер;Среднее время (мкс);Средние итерации
100;32,06;672,00
200;81,22;1544,00
300;87,52;2488,00
400;58,64;3488,00
500;68,86;4488,00
600;78,72;5576,00
700;85,02;6676,00
800;102,30;7776,00
900;108,08;8876,00
1000;125,78;9976,00
1100;137,42;11152,00
1200;151,26;12352,00
1300;162,60;13552,00
1400;183,04;14752,00
1500;198,10;15952,00
1600;214,18;17152,00
1700;228,00;18352,00
1800;237,48;19552,00
1900;256,64;20752,00
2000;276,00;21952,00
2100;299,62;23204,00
2200;321,62;24504,00
2300;328,84;25804,00
2400;343,86;27104,00
2500;342,96;28404,00
2600;348,34;29704,00
2700;366,80;31004,00
2800;376,58;32304,00
2900;388,68;33604,00
3000;401,84;34904,00
3100;418,52;36204,00
3200;441,56;37504,00
3300;461,92;38804,00
3400;465,14;40104,00
3500;490,68;41404,00
3600;497,78;42704,00
3700;527,28;44004,00
3800;538,68;45304,00
3900;550,38;46604,00
4000;571,32;47904,00
4100;586,94;49208,00
4200;601,22;50608,00
4300;609,60;52008,00
4400;630,10;53408,00
4500;641,84;54808,00
4600;650,84;56208,00
4700;674,80;57608,00
4800;692,36;59008,00
4900;714,14;60408,00
5000;725,28;61808,00
5100;734,96;63208,00
5200;755,66;64608,00
5300;772,00;66008,00
5400;795,00;67408,00
5500;820,66;68808,00
5600;829,00;70208,00
5700;845,34;71608,00
5800;865,98;73008,00
5900;878,36;74408,00
6000;901,72;75808,00
6100;908,50;77208,00
6200;929,40;78608,00
6300;956,36;80008,00
6400;961,86;81408,00
6500;980,60;82808,00
6600;990,22;84208,00
6700;1004,56;85608,00
6800;1015,00;87008,00
6900;1035,72;88408,00
7000;1056,16;89808,00
7100;1059,96;91208,00
7200;1073,90;92608,00
7300;1105,68;94008,00
7400;1141,40;95408,00
7500;1168,34;96808,00
7600;1188,86;98208,00
7700;1209,30;99608,00
7800;1223,16;101008,00
7900;1242,86;102408,00
8000;1262,44;103808,00
8100;1268,52;105208,00
8200;1280,08;106616,00
8300;1303,48;108116,00
8400;1322,58;109616,00
8500;1339,40;111116,00
8600;1351,92;112616,00
8700;1361,20;114116,00
8800;1395,28;115616,00
8900;1399,60;117116,00
9000;1424,80;118616,00
9100;1427,60;120116,00
9200;1451,12;121616,00
9300;1475,00;123116,00
9400;1489,10;124616,00
9500;1504,82;126116,00
9600;1517,08;127616,00
9700;1523,36;129116,00
9800;1512,74;130616,00
9900;1523,54;132116,00
10000;1525,98;133616,00
